Species,Young,Old
Poecliocampa populi,0,1
Euthrix potatoria,1,0
Lasiocampa quercus,0,1
Dendrolimus pini,0,3
Endromis versicolora,0,1
Sphinx ligustri,0,13
Hyloicus pinastri,0,9
Laothoe populi,0,1
Aglia tau,1,3
Watsonalla binaria,9,1
Watsonalla cultraria,1,0
Thyatira batis,5,5
Habrosyne pyritoides,11,10
Cymatophorima diluta,0,6
Achyla flavicornis,0,1
Geometra papilionaria,1,4
Comibaena bajularia,1,9
Jodis lactearia,0,3
Thalera fimbrialis,8,2
Hemithea aestivaria,0,3
Idaea dimidiata,1,0
Idaea trigeminata,1,4
Idaea biselata,8,8
Idaea aversata,7,22
Idaea degeneraria,4,3
Idaea deversaria,1,10
Scopula nigropunctata,2,6
Scopula floslactata,20,7
Rhodostrophia vibicaria,0,1
Timandra comae,3,1
Cyclophora annularia,5,9
Cyclophora quercimontaria,1,0
Cyclophora ruficiliaria,7,4
Cyclophora porata,6,1
Cyclophora punctaria,18,20
Cyclophora linearia,4,6
Xanthorhoe spadicearia,3,6
Xanthorhoe ferrugata,3,11
Xanthorhoe quadrifasciata,0,1
Xanthorhoe fluctuata,1,5
Catarhoe rubidata,0,2
Epirrhoe alternata,4,1
Euphyia biangulata,16,7
Euphyia unangulata,0,1
Camptogramma bilineata,6,0
Anticlea badiata,1,1
Mesoleuca albicillata,3,9
Lampropteryx suffumata,4,23
Cosmorhoe ocellata,1,1
Nebula salicata,1,4
Eulithis populata,0,2
Ecliptopera silaceata,0,1
Chloroclysta siterata,1,1
Chloroclysta miata,0,1
Dysstroma truncata,1,2
Thera variata,0,11
Thera britannica,2,4
Electrophaes corylata,1,1
Colostygia olivata,4,23
Colostygia pectinataria,6,30
Horisme tersata,1,0
Melanthia procellata,2,7
Anticollix sparsata,1,5
Triphosa dubitata,0,1
Philereme transversata,1,0
Epirrita dilutata,124,318
Perizoma alchemillata,10,8
Perizoma albulata,0,3
Eupithecia plumbeolata,0,2
Eupithecia abbreviata,5,20
Eupithecia tantillaria,2,4
Eupithecia lariciata,0,1
Eupithecia subfuscata,2,1
Aplocera plagiata,0,1
Asthena albulata,17,33
Trichopteryx carpinata,1,0
Acasis viretata,1,0
Abraxas grossulariata,1,1
Lomaspilis marginata,1,1
Ligdia adustata,34,16
Macaria notata,6,7
Macaria alternata,6,1
Macaria liturata,0,11
Plagodis pulveraria,23,19
Plagodis dolabraria,7,25
Hypoxystis pluviaria,1,0
Apeira syringaria,4,0
Ennomos autumnaria,1,0
Ennomos quercinaria,66,83
Selenia dentaria,5,6
Selenia lunularia,4,4
Selenia tetralunaria,15,20
Crocallis elinguaria,10,4
Odontopera bidentata,0,2
Colotois pennaria,167,671
Angerona prunaria,12,7
Lycia hirtaria,1,0
Biston betularia,0,3
Agriopis leucophaearia,2,0
Agriopis aurantiaria,9,14
Agriopis marginaria,16,0
Erannis defoliaria,3,14
Peribatodes rhomboidaria,118,31
Alcis repandata,2,8
Alcis bastelbergeri,0,4
Hypomecis roboraria,4,70
Hypomecis punctinalis,53,291
Fagivorina arenaria,0,20
Ectropis crepuscularia,64,91
Paradarisa consonaria,2,7
Parectropis similaria,15,4
Aethalura punctulata,2,1
Cabera pusaria,7,18
Cabera exanthemata,10,3
Lomographa bimaculata,3,4
Lomographa temerata,0,1
Campaea margaritata,320,202
Stauropus fagi,1,11
Drymonia dodonea,59,134
Drymonia ruficornis,6,2
Peridea anceps,3,3
Pterostoma palpina,2,0
Spatalia argentina,0,6
Ptilodon capucina,1,15
Ptilodon cucullina,0,3
Ptilophora plumigera,0,1
Phalera bucephala,2,4
Clostera pigra,0,1
Rivula sericealis,4,10
Trisateles emortualis,7,4
Idia calvaria,1,0
Paracolax tristalis,23,69
Herminia tarsipennalis,4,0
Herminia tarsicrinalis,13,8
Herminia grisealis,23,24
Polypogon tentacularia,1,3
Zanclognatha lunalis,8,16
Hypena proboscidalis,80,26
Colobochyla salicalis,1,1
Lymantria dispar,1,7
Lymantria monacha,0,22
Calliteara pudibunda,2,27
Spilarctia lutea,0,1
Diaphora mendica,1,0
Euplagia quadripunctaria,3,2
Miltochrista miniata,1,4
Lithosia quadra,1,0
Eilema depressa,5,8
Eilema lurideola,10,16
Dysauxes ancilla,1,1
Catephia alchymista,1,0
Minucia lunaris,1,1
Catocala nupta,0,6
Catocala promissa,3,3
Meganola strigula,0,7
Meganola albula,0,1
Pseudoips prasinana,2,0
Abrostola asclepiadis,0,1
Abrostola triplasia,1,1
Autographa gamma,0,1
Protodeltote pygarga,6,2
Deltote deceptoria,0,1
Colocasia coryli,85,144
Diloba caeruleocephala,0,1
Craniophora ligustri,2,0
Moma alpium,3,1
Acronicta alni,1,0
Acronicta tridens,0,1
Acronicta rumicis,0,3
Amphipyra pyramidea,9,3
Amphipyra berbera,0,1
Amphipyra livida,1,0
Amphipyra tragopoginis,1,0
Asteroscopus sphinx,15,8
Brachionycha nubeculosa,1,0
Allophyes oxyacanthae,2,0
Helicoverpa armigera,0,1
Caradrina morpheus,0,2
Caradrina kadenii,0,1
Caradrina aspersa,1,2
Hoplodrina octogenaria,0,2
Hoplodrina blanda,1,1
Hoplodrina superstes,1,1
Hoplodrina respersa,0,1
Hoplodrina ambigua,27,5
Charanyca trigrammica,3,0
Rusina ferruginea,10,12
Athetis furvula,0,1
Dypterygia scabriuscula,14,8
Trachea atriplicis,5,9
Euplexia lucipara,15,4
Apamea monoglypha,0,1
Apamea syriaca,1,0
Apamea anceps,0,1
Loscopia scolopacina,1,0
Mesapamea secalis,12,1
Mesapamea secalella,3,0
Oligia latruncula,1,0
Cosmia trapezina,98,29
Tiliacea citrago,6,2
Tiliacea aurago,0,1
Lithophane socia,3,1
Lithophane ornitopus,10,10
Eupsilia transversa,7,8
Conistra vaccinii,15,20
Conistra rubiginosa,1,0
Conistra veronicae,0,1
Conistra rubiginea,3,0
Agrochola nitida,1,0
Agrochola liturata,1,0
Agrochola helvola,1,0
Agrochola macilenta,6,5
Agrochola circellaris,1,0
Agrochola laevis,22,7
Xanthia togata,4,0
Xanthia icteritia,1,0
Xanthia ocellaris,1,0
Dichonia aeruginea,1,0
Dichonia aprilina,5,0
Blepharita satura,59,17
Mythimna turca,0,2
Mythimna pallens,1,1
Mythimna albipuncta,4,0
Mythimna ferrago,16,5
Polia nebulosa,1,0
Mamestra brassicae,2,4
Lacanobia thalassina,0,5
Lacanobia oleracea,0,3
Hada plebeja,1,1
Lasionycta proxima,0,1
Orthosia incerta,2,1
Orthosia cerasi,3,6
Orthosia cruda,24,22
Orthosia populeti,2,0
Orthosia opima,0,1
Orthosia gothica,11,3
Anorthoa munda,5,2
Agrotis exclamationis,2,1
Agrotis segetum,9,1
Agrotis ipsilon,4,0
Ochropleura plecta,2,5
Diarsia brunnea,0,1
Diarsia mendica,0,1
Noctua pronuba,10,8
Noctua fimbriata,2,0
Noctua interposita,5,10
Noctua comes,5,3
Noctua janthina,2,0
Noctua janthe,1,0
Eurois occulta,2,0
Xestia baja,3,2
Xestia stigmatica,1,0
Xestia castanea,0,1
Xestia xanthographa,2,0
Xestia c-nigrum,16,6
Xestia triangulum,0,2
Metagnorisma depuncta,11,9
