Species,S,R
Abax carinatus (Duftschmid 1812),215,185
Agonum viduum (Panzer 1797),0,0
Amara aenea (DeGeer 1774),1,0
A. eurynota (Panzer 1797),2,0
A. familiaris (Duftschmid 1812),0,0
A. ovata (F. 1792),0,5
A. saphyrea (Dejean 1828),0,1
Anchomenus dorsalis (Pontoppidan 1763),0,1
Aptinus bombarda (Illiger 1800),1053,820
Asaphidion flavipes (L. 1761),0,0
Badister bullatus (Schrank 1798),0,0
Bembidion lampros (Herbst 1784),0,3
B. tetracolum (Say 1823),0,14
Calathus fuscipes (Goeze 1777),60,0
C. melanocephalus (L. 1758),1,0
C. inquisitor (L. 1758),3,6
Carabus convexus (F. 1775),12,64
C. coriaceus (L. 1758),114,199
C. hortensis (L. 1758),17,86
C. intricatus (L. 1761),3,32
C. montivagus (Pallairdi 1825),2,17
C. ullrichi (Germar 1824),23,36
C. violaceus (L. 1758),39,98
Clivina fossor (L. 1758),0,0
Cychrus semigranosus (Pallairdi 1825),51,46
Diachromus germanus (L. 1758),0,1
Gynandromorphus etruscus (Quensel 1806),4,2
Harpalus affÄ±nis (Schrank 1781),0,0
H. atratus (Latreille 1804),12,6
H. cupreus fastuosus (Faldermann 1836),1,1
H. luteicornis (Duftschmid 1812),0,0
H. quadripunctatus (Dejean 1829),0,1
H. rubripes (Duftschmid 1812),0,2
H. rufipes (DeGeer 1774),6,13
H. serripes (Quensel 1806),1,0
Laemostenus terricola (Herbst 1783),100,133
Lebia humeralis (Dejean 1825),0,0
Leistus ferrugineus (L. 1758),0,0
L. rufomarginatus (Duftshmid 1812),26,3
Loricera pilicornis (F. 1775),0,0
Molops dilatatus dilatatus (Chaudoir 1868),21,0
M. piceus bulgaricus (Maran 1938),67,99
M. robustus parallelus (Mlynar 1976),29,112
M. rufipes golobardensis (Mlynar 1976),0,331
Myas chalybaeus (Palliardi 1825),198,25
Nebria brevicollis (F. 1792),9,17
Notiophilus palustris (Duftshmid 1812),0,0
N. rufipes (Curtis 1829),40,22
Ophonus nitidulus (Stephens 1828),1,0
O. rufibarbis (F. 1792),0,0
Panagaeus bipustulatus (F. 1775),0,0
Patrobus atrorufus (Stroem 1768),0,0
Platyderus rufus (Duftschmid 1812),0,2
Platynus assimilie (Paykull 1790),2,242
P. scrobiculatus (F. 1801),0,3
Poecilus cupreus (L. 1758),0,0
Pterostichus anthracinus (Illiger 1798),0,0
P. brucki (Schaum 1859),0,5
P. melanarius (Illiger 1798),50,38
P. melas (Creutzer 1799),24,0
P. niger (Schaller 1783),0,8
P. nigrita (Paykull 1790),0,1
P. oblongopunctatus (F. 1787),0,11
P. ovoideus (Sturm 1824),0,0
P. strenuus (Panzer 1797),0,4
Stomis pumicatus (Panzer 1796),1,1
Syntomus obscuroguttatus (Duftschmid 1812),0,0
S. vivalis (Illiger 1798),1,5
Tapinopterus kaufmanni (Ganglbauer 1896),3,24
Trechus obtusus (Erichson 1837),0,7
T. quadristriatus (Schrank 1781),0,0
Xenion ignitum (Kraatz 1875),18,393
